Designator,Mid X,Mid Y,Layer,Rotation
C1,43.50,-525.00,T,90.00
C1,31.00,-525.00,T,90.00
C1,56.00,-525.00,T,90.00
C1,18.50,-525.00,T,90.00
C1,6.00,-525.00,T,90.00
C10,55.92,-249.70,T,90.00
C10,18.43,-249.70,T,90.00
C10,5.92,-249.70,T,90.00
C10,43.42,-249.70,T,90.00
C10,30.93,-249.70,T,90.00
C11,43.45,-340.70,T,90.00
C11,55.95,-340.70,T,90.00
C11,5.95,-340.70,T,90.00
C11,18.45,-340.70,T,90.00
C11,30.95,-340.70,T,90.00
C12,56.92,-249.70,T,90.00
C12,6.92,-249.70,T,90.00
C12,31.93,-249.70,T,90.00
C12,44.42,-249.70,T,90.00
C12,19.43,-249.70,T,90.00
C13,6.00,-137.57,T,90.00
C13,31.00,-137.57,T,90.00
C13,43.50,-137.57,T,90.00
C13,18.50,-137.57,T,90.00
C13,56.00,-137.57,T,90.00
C14,45.25,-5.32,T,270.00
C14,32.75,-5.32,T,270.00
C14,7.75,-5.32,T,270.00
C14,57.75,-5.32,T,270.00
C14,20.25,-5.32,T,270.00
C15,19.50,-137.57,T,90.00
C15,44.50,-137.57,T,90.00
C15,7.00,-137.57,T,90.00
C15,32.00,-137.57,T,90.00
C15,57.00,-137.57,T,90.00
C16,57.75,-2.05,T,270.00
C16,20.25,-2.05,T,270.00
C16,45.25,-2.05,T,270.00
C16,7.75,-2.05,T,270.00
C16,32.75,-2.05,T,270.00
C17,42.49,-550.05,T,0.00
C17,17.49,-550.05,T,0.00
C17,54.99,-550.05,T,0.00
C17,4.99,-550.05,T,0.00
C17,29.99,-550.05,T,0.00
C18,42.50,-549.00,T,0.00
C18,55.00,-549.00,T,0.00
C18,30.00,-549.00,T,0.00
C18,17.50,-549.00,T,0.00
C18,5.00,-549.00,T,0.00
C2,56.00,-565.00,T,90.00
C2,18.50,-565.00,T,90.00
C2,43.50,-565.00,T,90.00
C2,31.00,-565.00,T,90.00
C2,6.00,-565.00,T,90.00
C3,44.50,-565.00,T,90.00
C3,7.00,-565.00,T,90.00
C3,19.50,-565.00,T,90.00
C3,57.00,-565.00,T,90.00
C3,32.00,-565.00,T,90.00
C4,57.00,-525.00,T,90.00
C4,44.50,-525.00,T,90.00
C4,32.00,-525.00,T,90.00
C4,19.50,-525.00,T,90.00
C4,7.00,-525.00,T,90.00
