Comment,Designator,Footprint
Conn_02x03_Counter_Clockwise,"J11,J10,J13,J22,J24,J21,J12,J19,J26,J2,J5,J18,J8,J9,J20,J15,J4,J16,J6,J25,J23,J14,J7,J17",PinHeader_2x04_P2.00mm_Vertical
MountingHole,"H7,H15,H9,H1,H10,H13,H17,H22,H24,H23,H18,H8,H6,H14,H12,H5,H21,H11,H2,H4,H20,H16,H3,H19",Mounting_Wuerth_WA-SMSI-M3_H8mm_9774080360
0.1uF,C1,C_0603_1608Metric
22uF,"C5,C4,C2,C3",C_0805_2012Metric
AMS1117-3.3,U1,SOT-223-3_TabPin2
10K,"R1,R2",R_0603_1608Metric
Conn_02x03_Counter_Clockwise,J29,PinHeader_2x04_P2.54mm_Vertical_SMD
RB1-125B8G1A,J3,RJ45_UDE_RB1-125B8G1A
SODIMM-200_Split,J1,14730054
USB_B_Micro,J28,USB_Micro-B_Molex-105133-0001
